Band Selection,Band Param,Int. Attention,Fusion,OA_mean,OA_std,AA_mean,AA_std,Kappa_mean,Kappa_std,Time_mean,Time_std,Successful Folds
E-FDPC,2.5,[1],AdaptiveWeight,0.9811219512195122,0.0036129956897914786,0.9647206447620548,0.010338321106226319,0.978471157663589,0.004115966168737517,30.203221011161805,7.480328465681064,10
E-FDPC,2.5,[],AdaptiveWeight,0.9800000000000001,0.002801635925221584,0.9599468893585061,0.016887173626215467,0.9771934691916231,0.003199097255540778,24.290559029579164,4.52045590254628,10
None,N/A,[1],AdaptiveWeight,0.986390243902439,0.0019249587847421123,0.9798851008804622,0.0053493803363686265,0.984483041222336,0.002196563180073592,45.81216423511505,6.091790440413617,10
None,N/A,[],AdaptiveWeight,0.9839390243902439,0.00305503423646943,0.9709732396120826,0.010991490719458303,0.9816892664205528,0.003480443536903826,33.338019013404846,4.581658783356672,10
SWGMF,30.0,[1],AdaptiveWeight,0.9490487804878048,0.008941204531592717,0.921164484389621,0.01791095612138886,0.9418322426979412,0.01024456140485493,36.16170871257782,2.0848060770109265,10
SWGMF,30.0,[],AdaptiveWeight,0.9494268292682927,0.0071373710081832084,0.9197029212085894,0.022607586201899125,0.9422892817892775,0.008160722610103168,27.557174921035767,2.399034068814615,10
