Dataset,Fold,Seed,Band Selection,Band Param,Int. Attention Stages,Fusion Mechanism,Input Bands,OA,AA,Kappa,Run Time (s),Status
IndianPines,8,49,E-FDPC,2.5,[],AdaptiveWeight,9,0.9815853658536585,0.971662524528432,0.9790025060988885,13.471447944641113,Success
IndianPines,8,49,E-FDPC,2.5,[1],AdaptiveWeight,9,0.9779268292682927,0.9569749582628337,0.9748237548339214,35.85488176345825,Success
IndianPines,8,49,None,N/A,[],AdaptiveWeight,200,0.9831707317073171,0.9677061612060207,0.9808073344883194,28.0224392414093,Success
IndianPines,8,49,None,N/A,[1],AdaptiveWeight,200,0.9859756097560975,0.9819226145141566,0.9840117583937633,41.36489152908325,Success
IndianPines,9,50,SWGMF,30.0,[],AdaptiveWeight,30,0.9376829268292682,0.900260429876495,0.9288911702967038,22.422743797302246,Success
IndianPines,9,50,SWGMF,30.0,[1],AdaptiveWeight,30,0.9380487804878048,0.8875184433345567,0.9292640137649213,31.49085760116577,Success
IndianPines,9,50,E-FDPC,2.5,[],AdaptiveWeight,9,0.9809756097560975,0.9613976681541494,0.9783114254485006,22.28962779045105,Success
IndianPines,9,50,E-FDPC,2.5,[1],AdaptiveWeight,9,0.973780487804878,0.9606706486199266,0.9701168318309202,21.00477933883667,Success
IndianPines,9,50,None,N/A,[],AdaptiveWeight,200,0.9814634146341463,0.9644553000760532,0.9788794697906434,28.157033443450928,Success
IndianPines,9,50,None,N/A,[1],AdaptiveWeight,200,0.984390243902439,0.9821264450707874,0.9822113661540294,49.88696503639221,Success
IndianPines,10,51,SWGMF,30.0,[],AdaptiveWeight,30,0.9586585365853658,0.94417065027227,0.9528651912082238,27.05624556541443,Success
IndianPines,10,51,SWGMF,30.0,[1],AdaptiveWeight,30,0.9609756097560975,0.927974234892123,0.9554963590797977,37.05317258834839,Success
IndianPines,10,51,E-FDPC,2.5,[],AdaptiveWeight,9,0.9791463414634146,0.9619846886229241,0.976218969057541,25.777737140655518,Success
IndianPines,10,51,E-FDPC,2.5,[1],AdaptiveWeight,9,0.9821951219512195,0.970002935892583,0.9796974616536062,36.564759731292725,Success
IndianPines,10,51,None,N/A,[],AdaptiveWeight,200,0.985609756097561,0.9820676491267646,0.9835899718039558,29.47103714942932,Success
IndianPines,10,51,None,N/A,[1],AdaptiveWeight,200,0.9875609756097561,0.9826915426415794,0.9858193104471856,45.55727243423462,Success
