Fold,Seed,Band Selection,Band Param,Int. Attention Stages,Fusion Mechanism,Input Bands,OA,AA,Kappa,Run Time (s),Status
7,48,SWGMF,30.0,[1],AdaptiveWeight,30,0.9980129741102215,0.9965271889789824,0.9973671280939029,58.22420382499695,Success
7,48,E-FDPC,2.5,[],AdaptiveWeight,13,0.9984512886447314,0.9972453599284032,0.9979477990930335,76.1450707912445,Success
7,48,E-FDPC,2.5,[1],AdaptiveWeight,13,0.9988896031792415,0.9980388309159568,0.9985285711083924,112.41284584999084,Success
7,48,None,N/A,[],AdaptiveWeight,103,0.9985097305826661,0.9971717332884888,0.9980251999414879,70.0094735622406,Success
7,48,None,N/A,[1],AdaptiveWeight,103,0.9987142773654374,0.9967990062841086,0.9982962686477787,147.78559255599976,Success
8,49,SWGMF,30.0,[],AdaptiveWeight,30,0.9973116708550056,0.9960150817745492,0.9964378486650798,108.3334641456604,Success
8,49,SWGMF,30.0,[1],AdaptiveWeight,30,0.9969610192273975,0.9956133742117134,0.995973445353334,124.65788459777832,Success
8,49,E-FDPC,2.5,[],AdaptiveWeight,13,0.9978960902343522,0.9970859615579547,0.9972125555715413,78.88315534591675,Success
8,49,E-FDPC,2.5,[1],AdaptiveWeight,13,0.9987142773654374,0.9981211352221799,0.9982962591132175,82.82879996299744,Success
8,49,None,N/A,[],AdaptiveWeight,103,0.99912337093098,0.9986834744072051,0.9988383575031351,123.54152321815491,Success
8,49,None,N/A,[1],AdaptiveWeight,103,0.9984512886447314,0.9976839095498775,0.9979476062135618,70.40333151817322,Success
9,50,SWGMF,30.0,[],AdaptiveWeight,30,0.9981006370171235,0.9953855768679222,0.9974830209057302,84.3729248046875,Success
9,50,SWGMF,30.0,[1],AdaptiveWeight,30,0.9980421950791888,0.9948129392268107,0.9974056093511721,73.40944766998291,Success
9,50,E-FDPC,2.5,[],AdaptiveWeight,13,0.9978084273274502,0.9953853505408383,0.9970960668043323,102.56551766395569,Success
9,50,E-FDPC,2.5,[1],AdaptiveWeight,13,0.9977207644205481,0.9951164949402358,0.9969799379497672,99.24780440330505,Success
9,50,None,N/A,[],AdaptiveWeight,103,0.9968441353515283,0.9939327971998126,0.9958196195236614,64.44218707084656,Success
9,50,None,N/A,[1],AdaptiveWeight,103,0.9985681725206008,0.9959987873020972,0.9981026018611058,85.61696219444275,Success
10,51,SWGMF,30.0,[],AdaptiveWeight,30,0.9979837531412542,0.9967600819747133,0.9973283179062981,88.06837964057922,Success
10,51,SWGMF,30.0,[1],AdaptiveWeight,30,0.9983051837998949,0.9969857452775687,0.9977541374670551,123.82215452194214,Success
10,51,E-FDPC,2.5,[],AdaptiveWeight,13,0.9985097305826661,0.9970653515944051,0.9980253058174733,76.19154763221741,Success
10,51,E-FDPC,2.5,[1],AdaptiveWeight,13,0.9981882999240255,0.9963410182792908,0.9975992998634928,77.3375153541565,Success
10,51,None,N/A,[],AdaptiveWeight,103,0.9985973934895681,0.9980813957106753,0.9981415177479926,92.3511745929718,Success
10,51,None,N/A,[1],AdaptiveWeight,103,0.9987434983344048,0.9982529483799537,0.998335078743822,119.94070672988892,Success
