Band Selection,Band Param,Int. Attention,Fusion,OA_mean,OA_std,AA_mean,AA_std,Kappa_mean,Kappa_std,Time_mean,Time_std,Successful Folds
E-FDPC,2.5,[1],AdaptiveWeight,0.9988253170475133,0.0005840621249759491,0.9976258091486067,0.001297770684085195,0.9984434274760912,0.0007739301056076739,87.97986001968384,12.245773282948303,10
E-FDPC,2.5,[],AdaptiveWeight,0.9986149260709485,0.0004905488145911703,0.9974091135749227,0.0010203669894233386,0.9981647050672005,0.0006499510386429945,89.90745432376862,16.169257553659243,10
None,N/A,[1],AdaptiveWeight,0.9990240196364912,0.0004446966835309893,0.9979283422356755,0.0011794201883186888,0.9987066930933404,0.0005893198499436748,107.4784560918808,30.1423113549108,10
None,N/A,[],AdaptiveWeight,0.9987960960785459,0.0007609679932804965,0.9977119267931268,0.0015648438828544844,0.9984048529113568,0.0010079416092826914,105.20497481822967,29.841788391943066,10
SWGMF,30.0,[1],AdaptiveWeight,0.9983344047688621,0.0006653432044859556,0.9967742071304831,0.0011355452906913653,0.997792947411377,0.000881572113095583,101.4434339761734,23.018215986034207,10
SWGMF,30.0,[],AdaptiveWeight,0.9981970662147157,0.0006921868545752483,0.9962993206100773,0.0013791923095950928,0.9976109210624898,0.00091719471528005,90.37384984493255,13.959946666778386,10
