Band Selection,Band Param,Int. Attention,Fusion,OA_mean,OA_std,AA_mean,AA_std,Kappa_mean,Kappa_std,Time_mean,Time_std,Successful Folds
E-FDPC,2.5,[1],AdaptiveWeight,0.9944230769230769,0.0031311986517486715,0.9940146671651527,0.004587063348495283,0.9939580008709534,0.0033923459004191023,13.868739080429076,1.8721991318970423,10
E-FDPC,2.5,[],AdaptiveWeight,0.9917307692307693,0.005497145275517543,0.9918377181748339,0.005992675547503134,0.9910411008281651,0.005955742553214575,11.11537275314331,1.6498923755611032,10
None,N/A,[1],AdaptiveWeight,0.9950769230769231,0.002819347078441699,0.994558421199893,0.004763863896531655,0.9946662952114611,0.0030547291558588583,16.257670092582703,2.5528588186935726,10
None,N/A,[],AdaptiveWeight,0.9940384615384616,0.0031987115256088927,0.9935518159376094,0.005354357473063993,0.9935409502186691,0.003466403824674318,12.619866514205933,1.5064457025082807,10
SWGMF,30.0,[1],AdaptiveWeight,0.9698076923076924,0.006899889945667791,0.9712553080812463,0.006436738214746742,0.9672899651114237,0.007473933319126555,13.396980428695679,2.0701085273537205,10
SWGMF,30.0,[],AdaptiveWeight,0.968923076923077,0.00938405490830187,0.9685268881171464,0.009082765444268944,0.9663278738432497,0.010166163095292521,10.591898727416993,1.363989094360613,10
