Dataset,Fold,Seed,Band Selection,Band Param,Int. Attention Stages,Fusion Mechanism,Input Bands,OA,AA,Kappa,Run Time (s),Status
Botswana,6,47,E-FDPC,2.5,[],AdaptiveWeight,20,0.9903846153846154,0.9825799965028851,0.9895795408873966,12.377042770385742,Success
Botswana,6,47,E-FDPC,2.5,[1],AdaptiveWeight,20,0.9907692307692307,0.9835198461269453,0.9899974111889536,11.648356437683105,Success
Botswana,6,47,None,N/A,[],AdaptiveWeight,145,0.9869230769230769,0.9795868583652131,0.9858286299828036,9.179104804992676,Success
Botswana,6,47,None,N/A,[1],AdaptiveWeight,145,0.9903846153846154,0.9825799965028851,0.9895807719397686,12.70569396018982,Success
Botswana,7,48,SWGMF,30.0,[],AdaptiveWeight,30,0.9715384615384616,0.9730212384355731,0.9691626637432103,8.115197896957397,Success
Botswana,7,48,SWGMF,30.0,[1],AdaptiveWeight,30,0.9723076923076923,0.9755032298514889,0.9700004759539873,14.936206340789795,Success
Botswana,7,48,E-FDPC,2.5,[],AdaptiveWeight,20,0.9784615384615385,0.9802961322341167,0.9766645687216431,7.6364521980285645,Success
Botswana,7,48,E-FDPC,2.5,[1],AdaptiveWeight,20,0.9911538461538462,0.9906519636731794,0.9904159632229417,12.229403495788574,Success
Botswana,7,48,None,N/A,[],AdaptiveWeight,145,0.9907692307692307,0.9909273614699972,0.9899997403778752,12.168720006942749,Success
Botswana,7,48,None,N/A,[1],AdaptiveWeight,145,0.995,0.9956810631229237,0.9945834713506498,16.022446870803833,Success
Botswana,8,49,SWGMF,30.0,[],AdaptiveWeight,30,0.9784615384615385,0.9803678081483158,0.9766638506217177,11.866284132003784,Success
Botswana,8,49,SWGMF,30.0,[1],AdaptiveWeight,30,0.9703846153846154,0.9693341024728248,0.967908211714753,10.22068476676941,Success
Botswana,8,49,E-FDPC,2.5,[],AdaptiveWeight,20,0.9961538461538462,0.9967265200653905,0.9958331764096885,12.072083234786987,Success
Botswana,8,49,E-FDPC,2.5,[1],AdaptiveWeight,20,0.9969230769230769,0.9961849606790446,0.9966663530687903,14.492156982421875,Success
Botswana,8,49,None,N/A,[],AdaptiveWeight,145,0.9938461538461538,0.9928676665824768,0.9933324635617531,13.089598894119263,Success
Botswana,8,49,None,N/A,[1],AdaptiveWeight,145,0.9957692307692307,0.9945226438188495,0.995416129678012,18.05158495903015,Success
Botswana,9,50,SWGMF,30.0,[],AdaptiveWeight,30,0.9511538461538461,0.9513941629810726,0.947075063812054,11.805659055709839,Success
Botswana,9,50,SWGMF,30.0,[1],AdaptiveWeight,30,0.9542307692307692,0.9603691210817485,0.9504199799468529,15.373953580856323,Success
Botswana,9,50,E-FDPC,2.5,[],AdaptiveWeight,20,0.9896153846153846,0.9910314384151594,0.9887507463447137,10.248994827270508,Success
Botswana,9,50,E-FDPC,2.5,[1],AdaptiveWeight,20,0.9926923076923077,0.9932428068272247,0.9920833206463472,15.812405109405518,Success
Botswana,9,50,None,N/A,[],AdaptiveWeight,145,0.995,0.9945145949036489,0.9945830095292555,12.921261310577393,Success
Botswana,9,50,None,N/A,[1],AdaptiveWeight,145,0.9919230769230769,0.9919344773320631,0.9912497503935208,18.15652108192444,Success
Botswana,10,51,SWGMF,30.0,[],AdaptiveWeight,30,0.9576923076923077,0.9586421071014684,0.95416461729619,11.534454345703125,Success
Botswana,10,51,SWGMF,30.0,[1],AdaptiveWeight,30,0.9684615384615385,0.9653095582963743,0.9658204119153379,12.676456451416016,Success
Botswana,10,51,E-FDPC,2.5,[],AdaptiveWeight,20,0.9938461538461538,0.9946889996308601,0.9933331399516556,10.216888189315796,Success
Botswana,10,51,E-FDPC,2.5,[1],AdaptiveWeight,20,0.9934615384615385,0.9943521594684386,0.9929166519096915,15.316737651824951,Success
Botswana,10,51,None,N/A,[],AdaptiveWeight,145,0.9938461538461538,0.9946843853820598,0.9933330416539057,14.187231063842773,Success
Botswana,10,51,None,N/A,[1],AdaptiveWeight,145,0.9946153846153846,0.9953488372093023,0.9941663731155702,18.115208625793457,Success
